Hang_xe,Tuoi_xe,Nam_dang_ky,Tinh_trang_xe,Dung_tich_xe,Dong_xe,So_km_da_di,Loai_xe,Gia_xe
Honda,14,2009,Đã sử dụng,Không rõ,SH,15000,Tay ga,59500000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,Vario,7333,Tay ga,52800000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Vision,26000,Tay ga,16900000.0
Yamaha,13,2010,Đã sử dụng,100 - 175 cc,Exciter,9999,Tay côn,52500000.0
SYM,10,2013,Đã sử dụng,100 - 175 cc,Attila,5000,Tay ga,4000000.0
Yamaha,5,2018,Đã sử dụng,Không rõ,Exciter,123,Tay côn,23500000.0
Honda,17,2006,Đã sử dụng,100 - 175 cc,Future,9999,Xe số,28500000.0
Suzuki,15,2008,Đã sử dụng,Không rõ,Smash,30,Xe số,3800000.0
Honda,19,2004,Đã sử dụng,100 - 175 cc,Wave,29000,Xe số,12900000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,Lead,25000,Tay ga,12500000.0
SYM,2,2021,Đã sử dụng,Dưới 50 cc,Elegant,6148,Xe số,11000000.0
Honda,21,2002,Đã sử dụng,Không rõ,Future,28000,Xe số,18800000.0
Suzuki,3,2020,Đã sử dụng,Không rõ,Satria,10000,Tay côn,37500000.0
Honda,10,2013,Đã sử dụng,Không rõ,Vision,19,Tay ga,14500000.0
Honda,10,2013,Đã sử dụng,Không rõ,SH,15000,Tay ga,66800000.0
Yamaha,8,2015,Đã sử dụng,100 - 175 cc,Nozza,3620,Tay ga,14500000.0
Piaggio,10,2013,Đã sử dụng,Không rõ,Vespa,5000,Tay ga,6000000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,Lead,22000,Tay ga,10800000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,Wave,39999,Xe số,12500000.0
Honda,19,2004,Đã sử dụng,50 - 100 cc,Wave,789,Xe số,16800000.0
Honda,14,2009,Đã sử dụng,100 - 175 cc,Win,1234,Tay côn,3900000.0
Yamaha,13,2010,Đã sử dụng,100 - 175 cc,Luvias,12345,Tay ga,10800000.0
Honda,6,2017,Đã sử dụng,Không rõ,SH,20000,Tay ga,79500000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,AirBlade,6300,Tay ga,38500000.0
Honda,6,2017,Đã sử dụng,Không rõ,AirBlade,15000,Tay ga,29800000.0
Honda,1,2022,Đã sử dụng,Không rõ,Lead,3000,Tay ga,25200000.0
Yamaha,17,2006,Đã sử dụng,100 - 175 cc,Mio,2563,Tay ga,6400000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,AirBlade,10000,Tay ga,39800000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,WinnerX,3800,Tay côn,32000000.0
Honda,1,2022,Mới,Không rõ,AirBlade,0,Tay ga,60000000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,AirBlade,2000,Tay ga,36000000.0
Yamaha,7,2016,Đã sử dụng,100 - 175 cc,Nouvo,20000,Tay ga,16800000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,SH,16000,Tay ga,118000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Future,30000,Xe số,30500000.0
Yamaha,12,2011,Đã sử dụng,Không rõ,Jupiter,12345,Xe số,6900000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,PCX,25000,Tay ga,21000000.0
Honda,8,2015,Đã sử dụng,Không rõ,Lead,30000,Tay ga,23000000.0
Honda,30,1993,Đã sử dụng,Không rõ,Cub,9999,Xe số,7100000.0
Honda,1,2022,Đã sử dụng,Không rõ,WinnerX,2000,Tay côn,25800000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,AirBlade,123,Tay ga,43500000.0
Honda,10,2013,Đã sử dụng,Không rõ,AirBlade,25000,Tay ga,14300000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,AirBlade,5000,Tay ga,41500000.0
Honda,11,2012,Đã sử dụng,Không rõ,Lead,20000,Tay ga,11700000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,SH,12000,Tay ga,85500000.0
Honda,4,2019,Đã sử dụng,Không rõ,Wave,30,Xe số,12500000.0
Yamaha,9,2014,Đã sử dụng,Không rõ,Luvias,30,Tay ga,8000000.0
Piaggio,1,2022,Đã sử dụng,100 - 175 cc,Vespa,7100,Tay ga,66000000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,SH,45,Tay ga,25000000.0
Honda,19,2004,Đã sử dụng,100 - 175 cc,Future,25000,Xe số,18800000.0
Honda,20,2003,Đã sử dụng,100 - 175 cc,Dream,8184,Xe số,15000000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,SH,1568,Tay ga,82000000.0
Honda,19,2004,Đã sử dụng,Không rõ,Dream,29000,Xe số,34500000.0
Yamaha,9,2014,Đã sử dụng,50 - 100 cc,Exciter,10000,Tay côn,21500000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Janus,24,Tay ga,20500000.0
Honda,17,2006,Đã sử dụng,Không rõ,SH,42000,Tay ga,52000000.0
Piaggio,7,2016,Đã sử dụng,100 - 175 cc,Zip,18000,Tay ga,16500000.0
Yamaha,7,2016,Đã sử dụng,100 - 175 cc,Exciter,12400,Tay côn,20000000.0
Suzuki,9,2014,Đã sử dụng,100 - 175 cc,Raider,33000,Tay côn,25500000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Vario,9000,Tay ga,74000000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Wave,41000,Xe số,10800000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,SH,1234,Tay ga,114000000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,AirBlade,21000,Tay ga,24500000.0
Honda,2,2021,Đã sử dụng,Không rõ,WinnerX,3000,Tay côn,26800000.0
Honda,3,2020,Đã sử dụng,Không rõ,Vario,10842,Tay ga,39500000.0
Honda,4,2019,Đã sử dụng,Không rõ,Wave,15000,Xe số,17800000.0
Suzuki,7,2016,Đã sử dụng,100 - 175 cc,Hayate,3000,Tay ga,3200000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Janus,24000,Tay ga,18600000.0
Honda,8,2015,Đã sử dụng,Không rõ,AirBlade,10000,Tay ga,18800000.0
Honda,14,2009,Đã sử dụng,100 - 175 cc,AirBlade,1,Tay ga,37500000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,SH,9200,Tay ga,46800000.0
SYM,10,2013,Đã sử dụng,Không rõ,Shark,11,Tay ga,6800000.0
Honda,8,2015,Đã sử dụng,Không rõ,AirBlade,28000,Tay ga,24800000.0
Yamaha,8,2015,Đã sử dụng,100 - 175 cc,Sirius,20000,Xe số,8500000.0
Honda,23,2000,Đã sử dụng,100 - 175 cc,Dream,16000,Xe số,42800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Winner,49000,Tay côn,20500000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,AirBlade,12345,Tay ga,21800000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SH,5000,Tay ga,78500000.0
Suzuki,22,2001,Đã sử dụng,Không rõ,Viva,90,Xe số,15800000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,AirBlade,4800,Tay ga,13000000.0
SYM,11,2012,Đã sử dụng,Không rõ,Attila,30000,Tay ga,7900000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,Vario,55000,Tay ga,39500000.0
Honda,13,2010,Đã sử dụng,Không rõ,AirBlade,18000,Tay ga,21800000.0
Honda,8,2015,Đã sử dụng,Không rõ,Wave,5000,Xe số,7500000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,SH,10000,Tay ga,68000000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,Dream,25,Xe số,4500000.0
Yamaha,8,2015,Đã sử dụng,100 - 175 cc,Exciter,45000,Tay côn,17900000.0
Suzuki,10,2013,Đã sử dụng,100 - 175 cc,Axelo,30000,Tay côn,10900000.0
Suzuki,4,2019,Đã sử dụng,Không rõ,Raider,12000,Tay côn,27500000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,Vision,6958,Tay ga,24800000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Exciter,5,Tay côn,16500000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Vision,123,Tay ga,15800000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,SHMode,1,Tay ga,41500000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,AirBlade,18221,Tay ga,25800000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Nvx,30000,Tay ga,25000000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Wave,6000,Xe số,6500000.0
Honda,2,2021,Đã sử dụng,Không rõ,SH,7890,Tay ga,78800000.0
Honda,3,2020,Đã sử dụng,Không rõ,Wave,20,Xe số,12800000.0
Honda,39,1984,Đã sử dụng,50 - 100 cc,Dòng khác,15610,Tay ga,21000000.0
Honda,13,2010,Đã sử dụng,Không rõ,Wave,5342,Xe số,6500000.0
Honda,15,2008,Đã sử dụng,50 - 100 cc,Wave,58000,Xe số,16500000.0
Piaggio,10,2013,Đã sử dụng,Không rõ,Vespa,12000,Tay ga,8800000.0
Piaggio,4,2019,Đã sử dụng,100 - 175 cc,Vespa,9000,Tay ga,58800000.0
Hãng khác,22,2001,Đã sử dụng,50 - 100 cc,Dòng khác,12345,Xe số,4500000.0
Suzuki,23,2000,Đã sử dụng,100 - 175 cc,Sport/Xipo,1000,Tay côn,35500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SH,6100,Tay ga,99900000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,Lead,26,Tay ga,24600000.0
Honda,7,2016,Đã sử dụng,50 - 100 cc,Wave,12345,Xe số,13300000.0
Piaggio,6,2017,Đã sử dụng,100 - 175 cc,Sprint,10000,Tay ga,58500000.0
Honda,14,2009,Đã sử dụng,100 - 175 cc,Lead,36863,Tay ga,8300000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,AirBlade,25000,Tay ga,26500000.0
Suzuki,3,2020,Đã sử dụng,100 - 175 cc,GZ,1700,Tay côn,56500000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Wave,5800,Xe số,6900000.0
Honda,12,2011,Đã sử dụng,Không rõ,AirBlade,123,Tay ga,19500000.0
Honda,29,1994,Đã sử dụng,50 - 100 cc,Cub,36,Xe số,9800000.0
Honda,15,2008,Đã sử dụng,Không rõ,Click,30,Tay ga,8800000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Grande,28000,Tay ga,19800000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Vision,29000,Tay ga,14800000.0
Honda,5,2018,Đã sử dụng,Không rõ,Vario,12000,Tay ga,65500000.0
Honda,3,2020,Đã sử dụng,Không rõ,AirBlade,130,Tay côn,43800000.0
Honda,6,2017,Đã sử dụng,Không rõ,Winner,13000,Tay côn,24800000.0
Yamaha,8,2015,Đã sử dụng,100 - 175 cc,Jupiter,5000,Xe số,4800000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Vision,5858,Tay ga,18500000.0
Piaggio,13,2010,Đã sử dụng,Không rõ,Vespa,48,Tay ga,5500000.0
Honda,12,2011,Đã sử dụng,100 - 175 cc,Lead,2000,Tay ga,11500000.0
Honda,16,2007,Đã sử dụng,Không rõ,Spacy,26000,Tay ga,2990000.0
Honda,4,2019,Đã sử dụng,Không rõ,Future,1,Xe số,26500000.0
Yamaha,10,2013,Đã sử dụng,Không rõ,Sirius,20000,Xe số,11500000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,Wave,2563,Xe số,10800000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,AirBlade,1600,Tay ga,21000000.0
Suzuki,3,2020,Đã sử dụng,100 - 175 cc,Satria,6000,Tay côn,36000000.0
Honda,1,2022,Mới,100 - 175 cc,SH,0,Tay ga,139000000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Wave,2200,Xe số,9500000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,SH,25000,Tay ga,57500000.0
Honda,5,2018,Đã sử dụng,Không rõ,AirBlade,21000,Tay ga,33500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vision,2200,Tay ga,24500000.0
Piaggio,13,2010,Đã sử dụng,100 - 175 cc,LX,13,Tay ga,13500008.0
Honda,12,2011,Đã sử dụng,Trên 175 cc,SH,8,Tay ga,102000000.0
Yamaha,7,2016,Đã sử dụng,Không rõ,Exciter,8000,Tay côn,20800000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,Dream,1600,Xe số,13500000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Exciter,25000,Tay côn,20500000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Winner,20000,Tay côn,18500000.0
Honda,2,2021,Đã sử dụng,Không rõ,Vision,4500,Tay ga,30700000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,AirBlade,12345,Tay ga,13600000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,SH,10000,Tay ga,151000000.0
Honda,8,2015,Đã sử dụng,Không rõ,AirBlade,30000,Tay ga,24800000.0
SYM,11,2012,Đã sử dụng,50 - 100 cc,Wolf,10,Xe số,5800000.0
Piaggio,10,2013,Đã sử dụng,100 - 175 cc,LX,18000,Tay ga,10500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SH,5000,Tay ga,86800000.0
Piaggio,18,2005,Đã sử dụng,100 - 175 cc,Vespa,25000,Tay ga,21000000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Lead,1600,Tay ga,9600000.0
Hãng khác,18,2005,Đã sử dụng,100 - 175 cc,Dòng khác,38000,Xe số,3800000.0
Suzuki,23,2000,Đã sử dụng,100 - 175 cc,Viva,10000,Xe số,7500000.0
Yamaha,16,2007,Đã sử dụng,50 - 100 cc,Mio,5555,Tay ga,7500000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Future,40000,Xe số,16500000.0
Honda,14,2009,Đã sử dụng,Không rõ,Future,15000,Xe số,85000000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,AirBlade,24,Tay ga,12900000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Exciter,20000,Tay côn,19500000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,AirBlade,20000,Tay ga,45500000.0
Honda,15,2008,Đã sử dụng,Không rõ,Future,66666,Xe số,28000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,SHMode,3000,Tay ga,59000000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Vario,31000,Tay ga,38500000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,SH,14000,Tay ga,83000000.0
Honda,5,2018,Đã sử dụng,Không rõ,Dòng khác,45000,Tay côn,53000000.0
Suzuki,13,2010,Đã sử dụng,100 - 175 cc,Hayate,38000,Tay ga,3100000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,AirBlade,1200,Tay ga,33000000.0
Yamaha,5,2018,Đã sử dụng,Không rõ,Exciter,8000,Tay côn,20800008.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SHMode,50000,Tay ga,135000000.0
Honda,4,2019,Đã sử dụng,Không rõ,PCX,8542,Tay ga,54800000.0
Honda,9,2014,Đã sử dụng,Không rõ,SH,15000,Tay ga,66800000.0
Honda,10,2013,Đã sử dụng,Không rõ,AirBlade,1000,Tay ga,15800000.0
Yamaha,7,2016,Đã sử dụng,100 - 175 cc,Mio,5000,Tay ga,5900000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SH,4000,Tay ga,76800000.0
Honda,12,2011,Đã sử dụng,100 - 175 cc,Wave,30,Xe số,8500000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Winner,7000,Xe số,24000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Future,15000,Xe số,30500000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,SH,3000,Tay ga,91600000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Exciter,22,Tay côn,22500000.0
Honda,12,2011,Đã sử dụng,Không rõ,SH,15000,Tay ga,36800000.0
Piaggio,4,2019,Đã sử dụng,100 - 175 cc,Sprint,1000,Tay ga,139000000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,AirBlade,1000,Tay ga,45000000.0
Piaggio,43,1980,Đã sử dụng,100 - 175 cc,Vespa,5000,Tay côn,37500000.0
Yamaha,5,2018,Đã sử dụng,100 - 175 cc,Janus,27000,Tay ga,20500000.0
Piaggio,10,2013,Đã sử dụng,100 - 175 cc,Vespa,26000,Tay ga,16800000.0
SYM,14,2009,Đã sử dụng,100 - 175 cc,Attila,39000,Tay ga,4800000.0
Honda,25,1998,Đã sử dụng,50 - 100 cc,Dream,30,Xe số,14800000.0
Yamaha,8,2015,Đã sử dụng,100 - 175 cc,Sirius,1234,Xe số,9800000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Nouvo,5000,Tay ga,4600000.0
Yamaha,11,2012,Đã sử dụng,Không rõ,Exciter,20000,Tay côn,13000000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,SH,1200,Tay ga,111000000.0
Honda,14,2009,Đã sử dụng,Không rõ,Future,40000,Xe số,18800000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Vision,24531,Tay ga,16800000.0
Yamaha,15,2008,Đã sử dụng,Không rõ,Mio,38000,Tay ga,5800000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,WinnerX,3000,Tay côn,23800000.0
Piaggio,7,2016,Đã sử dụng,100 - 175 cc,Zip,11000,Tay ga,14500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vario,15000,Tay ga,43500000.0
Honda,3,2020,Đã sử dụng,Không rõ,Future,11000,Xe số,23000000.0
Yamaha,3,2020,Đã sử dụng,100 - 175 cc,Exciter,2600,Tay côn,33500000.0
Honda,8,2015,Đã sử dụng,Không rõ,Lead,16000,Tay ga,23800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,AirBlade,7000,Tay ga,35700000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Vision,7575,Tay ga,17500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,WinnerX,5,Tay côn,29500000.0
Yamaha,7,2016,Đã sử dụng,100 - 175 cc,Exciter,23,Tay côn,25500000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,AirBlade,1,Tay ga,32800000.0
Yamaha,7,2016,Đã sử dụng,100 - 175 cc,Grande,18910,Tay ga,23300000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,Dream,5000,Xe số,2800000.0
Yamaha,5,2018,Đã sử dụng,100 - 175 cc,Jupiter,25000,Xe số,20000000.0
Yamaha,1,2022,Đã sử dụng,100 - 175 cc,Exciter,2200,Tay côn,45800000.0
Yamaha,7,2016,Đã sử dụng,Không rõ,Exciter,17890,Tay côn,28500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SH,12000,Tay ga,79800000.0
Yamaha,12,2011,Đã sử dụng,100 - 175 cc,Sirius,35,Xe số,9300000.0
Honda,13,2010,Đã sử dụng,Không rõ,AirBlade,2345,Tay ga,16500000.0
Yamaha,4,2019,Đã sử dụng,100 - 175 cc,Sirius,1600,Xe số,8500000.0
Piaggio,8,2015,Đã sử dụng,Không rõ,Liberty,13000,Tay ga,8600000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,AirBlade,10000,Tay ga,34500000.0
Yamaha,14,2009,Đã sử dụng,Không rõ,Exciter,1,Xe số,28800000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Exciter,123,Tay côn,12500000.0
Yamaha,11,2012,Đã sử dụng,100 - 175 cc,Nouvo,2500,Tay ga,5200000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,SH,12000,Tay ga,68000000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,AirBlade,30000,Tay ga,16800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Vario,22,Tay ga,36600000.0
Yamaha,11,2012,Đã sử dụng,100 - 175 cc,Nouvo,39000,Tay ga,5800000.0
Piaggio,8,2015,Đã sử dụng,100 - 175 cc,Sprint,15000,Tay ga,45500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Wave,6377,Xe số,58000000.0
Honda,8,2015,Đã sử dụng,Không rõ,Lead,26,Tay ga,19500000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,FZ,15000,Tay côn,39500000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,AirBlade,17000,Tay ga,13000000.0
Yamaha,5,2018,Đã sử dụng,Không rõ,Sirius,123,Xe số,15500000.0
Yamaha,12,2011,Đã sử dụng,100 - 175 cc,Nouvo,36595,Tay ga,9500000.0
Honda,6,2017,Đã sử dụng,Không rõ,Wave,25,Xe số,12300000.0
Piaggio,10,2013,Đã sử dụng,100 - 175 cc,VespaS125,45000,Tay ga,26800000.0
Yamaha,5,2018,Đã sử dụng,100 - 175 cc,Sirius,26000,Xe số,12800000.0
Honda,5,2018,Đã sử dụng,Không rõ,Vision,18532,Tay ga,27600000.0
Honda,13,2010,Đã sử dụng,Không rõ,SH,16000,Tay ga,172000000.0
Honda,9,2014,Đã sử dụng,Không rõ,SH,15000,Tay ga,68800000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,AirBlade,4747,Tay ga,18500000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Sirius,45000,Xe số,9300000.0
Honda,29,1994,Đã sử dụng,50 - 100 cc,Citi,30,Xe số,9900000.0
Yamaha,17,2006,Đã sử dụng,50 - 100 cc,Mio,2563,Tay ga,7900000.0
Yamaha,6,2017,Đã sử dụng,Không rõ,Nvx,26000,Tay ga,25000000.0
Yamaha,9,2014,Đã sử dụng,Không rõ,Nouvo,20000,Tay ga,10800000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Sirius,50,Xe số,10000000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,AirBlade,18000,Tay ga,35500000.0
Yamaha,1,2022,Đã sử dụng,100 - 175 cc,Exciter,7,Tay côn,43000000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,AirBlade,30000,Tay ga,27500000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Wave,14,Tay ga,10500000.0
Honda,12,2011,Đã sử dụng,100 - 175 cc,AirBlade,28000,Tay ga,19800000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Mio,30000,Tay ga,10800000.0
Hãng khác,4,2019,Đã sử dụng,Dưới 50 cc,NioFi50cc,8600,Tay ga,8300000.0
Kawasaki,28,1995,Đã sử dụng,Không rõ,Max,9999,Xe số,5500000.0
Piaggio,3,2020,Đã sử dụng,100 - 175 cc,Sprint,2700,Tay ga,69500000.0
Yamaha,9,2014,Đã sử dụng,Không rõ,Exciter,1,Tay côn,13800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Vario,18000,Tay ga,34500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vario,15000,Tay ga,41800000.0
Hãng khác,3,2020,Đã sử dụng,100 - 175 cc,NioFi50cc,6000,Tay ga,12000000.0
Piaggio,22,2001,Đã sử dụng,100 - 175 cc,Vespa,20000,Tay ga,19000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,WinnerX,28000,Tay côn,25000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,Vario,20000,Tay ga,39700000.0
Yamaha,5,2018,Đã sử dụng,100 - 175 cc,Exciter,40000,Tay côn,24500000.0
Honda,9,2014,Đã sử dụng,Không rõ,Wave,11000,Xe số,19500000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,Wave,24,Xe số,6900000.0
Yamaha,6,2017,Đã sử dụng,Trên 175 cc,Nvx,8000,Tay ga,21000000.0
Piaggio,10,2013,Đã sử dụng,Không rõ,Liberty,21500,Tay ga,11800000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Exciter,11119,Tay côn,28800000.0
Honda,19,2004,Đã sử dụng,50 - 100 cc,Wave,33000,Xe số,33000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,SH,5000,Tay ga,96800000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,SH,1800,Tay ga,102000000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Dream,20000,Xe số,27500000.0
Yamaha,4,2019,Đã sử dụng,100 - 175 cc,Sirius,14000,Xe số,13800000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,Future,1500,Xe số,4567890.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,WinnerX,5000,Tay côn,29000000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,SH,12345,Tay ga,116000000.0
Honda,12,2011,Đã sử dụng,Không rõ,AirBlade,40,Tay ga,15600000.0
Yamaha,2,2021,Đã sử dụng,Không rõ,Exciter,8000,Tay côn,26800000.0
Piaggio,11,2012,Đã sử dụng,100 - 175 cc,Vespa,10000,Tay ga,22000000.0
Yamaha,1,2022,Đã sử dụng,Không rõ,Nvx,2541,Tay ga,45800000.0
Yamaha,10,2013,Đã sử dụng,Không rõ,Exciter,20000,Tay côn,21800000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vario,5000,Tay ga,38500000.0
Honda,6,2017,Đã sử dụng,Không rõ,Vision,16,Tay ga,25800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,SH,6000,Tay ga,95800000.0
Yamaha,13,2010,Đã sử dụng,100 - 175 cc,Exciter,1,Tay côn,55000000.0
Piaggio,5,2018,Đã sử dụng,100 - 175 cc,Primavera,3000,Tay ga,22500000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,AirBlade,7500,Tay ga,39000000.0
Honda,15,2008,Đã sử dụng,Không rõ,AirBlade,24000,Tay ga,12900000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Sirius,1234,Xe số,10800000.0
Honda,14,2009,Đã sử dụng,Không rõ,Lead,26000,Tay ga,10800000.0
Piaggio,5,2018,Đã sử dụng,100 - 175 cc,Primavera,14,Tay ga,45000000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,Future,39000,Xe số,16800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Winner,45000,Xe số,16500000.0
Piaggio,2,2021,Đã sử dụng,100 - 175 cc,Sprint,5000,Tay ga,69000000.0
Honda,3,2020,Đã sử dụng,Không rõ,WinnerX,9700,Tay côn,25500000.0
Honda,7,2016,Đã sử dụng,Không rõ,Click,30000,Tay ga,49800000.0
Honda,14,2009,Đã sử dụng,Không rõ,Wave,38000,Xe số,11800000.0
Honda,6,2017,Đã sử dụng,Không rõ,AirBlade,8000,Tay ga,20500000.0
Honda,17,2006,Đã sử dụng,100 - 175 cc,Dream,30000,Xe số,7500000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,AirBlade,7000,Tay ga,38500000.0
Yamaha,11,2012,Đã sử dụng,100 - 175 cc,Sirius,30000,Xe số,12500000.0
Honda,3,2020,Đã sử dụng,Không rõ,WinnerX,8000,Tay côn,27300000.0
Yamaha,2,2021,Đã sử dụng,100 - 175 cc,YB125,3000,Tay côn,26500000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Vision,6969,Tay ga,18500000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,AirBlade,19,Tay ga,15500000.0
Yamaha,11,2012,Đã sử dụng,100 - 175 cc,Jupiter,5,Xe số,11500000.0
Honda,17,2006,Đã sử dụng,100 - 175 cc,Future,123,Xe số,18800000.0
Yamaha,7,2016,Đã sử dụng,Không rõ,Exciter,17000,Tay côn,24500000.0
